"TITLE";"STATUS";"SLUG";"LONG DESCRIPTION";"TYPE";"ADDITIONALTYPES";"PRICE";"PRICERANGE";"INSTOCK";"SOLDCOUNT";"AVAILABLESINCE";"LASTCHECKEDAT";"IMAGE";"DISCOUNTS";"ARTICLENUMBERS";"ARTICLECATEGORY";"DIMENSIONS";"COLORS"
"Rustic Granite Chips";"Published";"eveniet-quaerat-nihil";"The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients";"Shoes";"[""Socks"",""Cap""]";"779";"{""min"":623.2,""max"":934.8}";"false";"932";"Sun Sep 08 2024 18:52:35 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":46,""price"":340},{""quantity"":85,""price"":216}]";"[null]";"Apparel";"{""width"":35.92,""height"":82.22,""depth"":18.38}";"[{""hex"":""#7FFFD4"",""name"":""Aquamarine""},{""hex"":""#8B0000"",""name"":""DarkRed""}]"
"Rustic Concrete Sausages";"Published";"omnis-eos-mollitia";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"Mug";"[]";"138";"{""min"":110.4,""max"":165.6}";"true";"853";"Tue Mar 19 2024 13:51:02 GMT+0100 (Central European Standard Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":69,""price"":147}]";"[null,null,null]";"Office";"{""width"":64.53,""height"":51.37,""depth"":28.18}";"[{""hex"":""#C0C0C0"",""name"":""Silver""}]"
"Practical Plastic Pizza";"Deleted";"animi-in-tempora";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"Shoes";"[""Jacket"",""Pants""]";"360";"{""min"":288,""max"":432}";"false";"120";"Sun Apr 28 2024 05:02:38 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":42,""price"":781},{""quantity"":35,""price"":660}]";"[null,null]";"Apparel";"{""width"":30.33,""height"":76.12,""depth"":32.3}";"[{""hex"":""#7FFF00"",""name"":""Chartreuse""},{""hex"":""#A9A9A9"",""name"":""DarkGray""},{""hex"":""#808000"",""name"":""Olive""}]"
"Gorgeous Granite Bike";"Published";"eos-corrupti-explicabo";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"Mug";"[]";"943";"{""min"":754.4000000000001,""max"":1131.6}";"true";"134";"Mon Oct 21 2024 15:47:46 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":2,""price"":640},{""quantity"":7,""price"":434}]";"[null]";"Office";"{""width"":15.83,""height"":48.18,""depth"":48.27}";"[{""hex"":""#C0C0C0"",""name"":""Silver""},{""hex"":""#800000"",""name"":""Maroon""},{""hex"":""#F0F8FF"",""name"":""AliceBlue""},{""hex"":""#FF0000"",""name"":""Red""}]"
"Refined Wooden Keyboard";"Published";"cum-sit-harum";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"Notebook";"[""Calendar"",""Pen""]";"404";"{""min"":323.20000000000005,""max"":484.79999999999995}";"true";"159";"Sun Aug 18 2024 07:36:19 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":68,""price"":83}]";"[null,null,null]";"Office";"{""width"":6.53,""height"":25.68,""depth"":6.9}";"[{""hex"":""#8B0000"",""name"":""DarkRed""},{""hex"":""#FFFFFF"",""name"":""White""},{""hex"":""#F0FFFF"",""name"":""Azure""},{""hex"":""#2F4F4F"",""name"":""DarkSlateGray""}]"
"Generic Steel Shirt";"Published";"ex-aut-dolore";"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design";"Bag";"[]";"188";"{""min"":150.4,""max"":225.6}";"false";"113";"Sun Feb 04 2024 09:51:51 GMT+0100 (Central European Standard Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":25,""price"":887},{""quantity"":13,""price"":280},{""quantity"":55,""price"":691}]";"[null]";"Accessories";"{""width"":22.46,""height"":47.56,""depth"":93.71}";"[{""hex"":""#C0C0C0"",""name"":""Silver""},{""hex"":""#00FF00"",""name"":""Lime""},{""hex"":""#C0C0C0"",""name"":""Silver""},{""hex"":""#BDB76B"",""name"":""DarkKhaki""}]"
"Handcrafted Plastic Sausages";"Published";"totam-minima-vel";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"Notebook";"[""Calendar"",""Pen""]";"598";"{""min"":478.40000000000003,""max"":717.6}";"true";"674";"Mon Jul 29 2024 12:35:44 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":42,""price"":622},{""quantity"":70,""price"":450}]";"[null,null]";"Office";"{""width"":97.57,""height"":77.25,""depth"":47.82}";"[{""hex"":""#FFA500"",""name"":""Orange""}]"
"Gorgeous Metal Pizza";"Published";"ad-ex-nihil";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"Wallet";"[""Sunglasses""]";"37";"{""min"":29.6,""max"":44.4}";"true";"525";"Fri May 03 2024 16:30:26 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":39,""price"":968},{""quantity"":77,""price"":592}]";"[null]";"Accessories";"{""width"":72.9,""height"":69.83,""depth"":41.85}";"[{""hex"":""#556B2F"",""name"":""DarkOliveGreen""},{""hex"":""#00FF00"",""name"":""Lime""},{""hex"":""#6495ED"",""name"":""CornflowerBlue""},{""hex"":""#800080"",""name"":""Purple""}]"
"Tasty Frozen Hat";"Published";"praesentium-natus-quidem";"The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients";"Bag";"[""Wallet""]";"28";"{""min"":22.400000000000002,""max"":33.6}";"false";"459";"Mon Nov 25 2024 12:51:12 GMT+0100 (Central European Standard Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":81,""price"":456}]";"[null,null]";"Accessories";"{""width"":60.71,""height"":65.83,""depth"":26.09}";"[{""hex"":""#8A2BE2"",""name"":""BlueViolet""}]"
"Sleek Frozen Pizza";"Published";"sed-quia-dolorem";"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J";"Shirt";"[]";"455";"{""min"":364,""max"":546}";"false";"981";"Wed Jan 01 2025 01:24:34 GMT+0100 (Central European Standard Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":77,""price"":396},{""quantity"":27,""price"":980}]";"[null,null]";"Apparel";"{""width"":17.77,""height"":90.57,""depth"":53.24}";"[{""hex"":""#FF00FF"",""name"":""Magenta""},{""hex"":""#008B8B"",""name"":""DarkCyan""}]"
"Generic Granite Computer";"Published";"ab-fuga-quis";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"Sunglasses";"[""Wallet""]";"292";"{""min"":233.60000000000002,""max"":350.4}";"true";"763";"Sat Sep 28 2024 16:58:18 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":26,""price"":207},{""quantity"":62,""price"":175}]";"[null,null]";"Accessories";"{""width"":20.14,""height"":30.34,""depth"":44.87}";"[{""hex"":""#008B8B"",""name"":""DarkCyan""}]"
"Fantastic Rubber Chips";"Published";"et-facilis-quia";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"Mug";"[""Pen""]";"925";"{""min"":740,""max"":1110}";"true";"325";"Wed Mar 06 2024 13:28:31 GMT+0100 (Central European Standard Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":19,""price"":117}]";"[null,null]";"Office";"{""width"":47.98,""height"":13.58,""depth"":26.65}";"[{""hex"":""#00FFFF"",""name"":""Cyan""},{""hex"":""#8B008B"",""name"":""DarkMagenta""},{""hex"":""#FF8C00"",""name"":""DarkOrange""},{""hex"":""#FFA500"",""name"":""Orange""}]"
"Generic Fresh Gloves";"Published";"voluptatem-ut-nam";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"Pen";"[""Notebook""]";"220";"{""min"":176,""max"":264}";"false";"637";"Fri Apr 26 2024 21:17:03 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":92,""price"":803}]";"[null,null,null]";"Office";"{""width"":12.75,""height"":75.8,""depth"":86.51}";"[{""hex"":""#C0C0C0"",""name"":""Silver""},{""hex"":""#7FFFD4"",""name"":""Aquamarine""},{""hex"":""#00FF00"",""name"":""Lime""},{""hex"":""#808080"",""name"":""Gray""}]"
"Rustic Plastic Towels";"Published";"nemo-nobis-occaecati";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"Socks";"[]";"992";"{""min"":793.6,""max"":1190.3999999999999}";"true";"715";"Wed Jul 03 2024 11:27:22 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":92,""price"":693},{""quantity"":93,""price"":500},{""quantity"":62,""price"":659}]";"[null]";"Apparel";"{""width"":32.19,""height"":79.44,""depth"":54.23}";"[{""hex"":""#00008B"",""name"":""DarkBlue""}]"
"Rustic Rubber Sausages";"Published";"in-mollitia-blanditiis";"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design";"Mug";"[]";"916";"{""min"":732.8000000000001,""max"":1099.2}";"true";"74";"Sun Nov 03 2024 11:28:34 GMT+0100 (Central European Standard Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":67,""price"":20},{""quantity"":63,""price"":560}]";"[null,null]";"Office";"{""width"":96.72,""height"":96.47,""depth"":23.95}";"[{""hex"":""#006400"",""name"":""DarkGreen""},{""hex"":""#FFFFFF"",""name"":""White""},{""hex"":""#00FFFF"",""name"":""Cyan""},{""hex"":""#000080"",""name"":""Navy""}]"
"Rustic Concrete Sausages";"Published";"aut-suscipit-voluptatem";"The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients";"Mug";"[""Pen"",""Notebook""]";"897";"{""min"":717.6,""max"":1076.3999999999999}";"false";"949";"Sat Aug 10 2024 20:20:36 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":37,""price"":776},{""quantity"":92,""price"":5},{""quantity"":15,""price"":289}]";"[null]";"Office";"{""width"":69.38,""height"":92.69,""depth"":4.48}";"[{""hex"":""#808080"",""name"":""Gray""}]"
